Date;Alpha;Beta;Sigma;Error;Time;Iterations;    ModR0.25;ModR1;ModR3;ModR5;ModR7;ModR10;ModR15;ModR20;ModR30;    MarR0.25;MarR1;MarR3;MarR5;MarR7;MarR10;MarR15;MarR20;MarR30
1;0.22972;0.0281253;0.00244215;8.22219e-07;7.02393;19;0.00180499;0.00392685;0.00854883;0.0120111;0.0146389;0.0174965;0.0204832;0.0222518;0.0241552;0.00065;0.00184;0.00805;0.01224;0.01517;0.01809;0.02066;0.02193;0.02415;
 2;0.249999;0.0318842;0.00484887;1.13814e-06;6.55005;18;0.00198457;0.0045907;0.0101646;0.0142364;0.0172594;0.0204721;0.0237375;0.0256249;0.0276235;0.00067;0.00265;0.01048;0.01545;0.01849;0.02114;0.02363;0.0254;0.02741;
 3;0.249999;0.030662;0.000182849;8.76637e-07;5.91269;17;0.00236571;0.00483498;0.0101266;0.0140005;0.0168806;0.0199444;0.023061;0.0248632;0.026772;0.0008;0.00275;0.00919;0.01412;0.01747;0.02047;0.02311;0.02493;0.02687;
 4;0.235851;0.0342945;0.004999;9.94589e-07;6.59715;19;0.00220664;0.0048556;0.0105876;0.0148437;0.0180499;0.0215099;0.025093;0.0271981;0.0294514;0.00069;0.00261;0.00958;0.01481;0.01837;0.02167;0.02486;0.02713;0.029;
 5;0.240568;0.0346669;0.000627973;8.02422e-07;6.8696;20;0.00216421;0.00490077;0.0108114;0.015186;0.0184702;0.0219999;0.0256355;0.0277606;0.0300272;0.00065;0.00303;0.00973;0.01509;0.01876;0.0222;0.02569;0.02833;0.0302;
 6;0.231842;0.03863;0.00277658;1.16307e-06;8.44906;20;0.00219144;0.00515444;0.0115975;0.0164121;0.0200584;0.0240142;0.0281364;0.0305711;0.0331866;0.00055;0.0032;0.01043;0.01679;0.02107;0.02464;0.02782;0.03069;0.03288;
 7;0.239364;0.0365283;0.00386979;4.59115e-07;7.2881;21;0.00190793;0.00480729;0.0110688;0.0157039;0.0191853;0.0229297;0.0267906;0.02905;0.0314618;0.00112;0.00375;0.01031;0.01607;0.01987;0.02291;0.02563;0.02838;0.03111;
 8;0.244825;0.0359318;0.00451308;2.95214e-07;6.99382;20;0.00229142;0.00516783;0.0113489;0.0158935;0.0192866;0.0229135;0.0266254;0.0287837;0.0310778;0.00156;0.00423;0.01103;0.01624;0.01983;0.02314;0.02626;0.02861;0.03146;
 9;0.196759;0.0369217;0.000444972;4.31671e-07;8.0836;23;0.00214775;0.00457226;0.0100061;0.0142415;0.0175741;0.021341;0.025477;0.0280412;0.0308991;0.00076;0.00377;0.0094;0.01444;0.0181;0.02152;0.02492;0.02776;0.03107;
 10;0.239703;0.0357187;0.000623352;5.82066e-07;7.1143;19;0.00269105;0.00546249;0.0114528;0.0158908;0.0192257;0.0228133;0.0265127;0.0286774;0.0309877;0.00095;0.00438;0.01087;0.01592;0.01943;0.02265;0.02566;0.02804;0.0316;
 11;0.249999;0.0360596;0.004999;5.38266e-07;7.87351;22;0.00305671;0.00593346;0.0120866;0.0165819;0.0199195;0.0234667;0.0270721;0.029156;0.0313628;0.00216;0.00693;0.01256;0.01719;0.0204;0.02335;0.02624;0.02868;0.03219;
 12;0.249999;0.0362122;0.00391915;6.87749e-07;8.05452;22;0.00403824;0.0068439;0.0128492;0.0172399;0.0205014;0.023969;0.0274944;0.0295326;0.031691;0.00328;0.00769;0.01372;0.01823;0.02127;0.02392;0.02641;0.02869;0.03228;
 
