Date;Alpha;Beta;Sigma;Error;Time;Iterations;    ModR0.25;ModR1;ModR3;ModR5;ModR7;ModR10;ModR15;ModR20;ModR30;    MarR0.25;MarR1;MarR3;MarR5;MarR7;MarR10;MarR15;MarR20;MarR30
1;0.232006;0.0281311;0.000972797;8.54653e-07;8.3167;17;0.00173402;0.00388252;0.00855609;0.0120497;0.014696;0.0175672;0.0205592;0.0223262;0.0242243;0.00065;0.00184;0.00805;0.01224;0.01517;0.01809;0.02066;0.02193;0.02415;
 2;0.249999;0.0320814;1.1e-05;1.08603e-06;9.99132;20;0.00201522;0.00463895;0.0102616;0.0143778;0.017438;0.0206935;0.0240051;0.0259201;0.0279483;0.00067;0.00265;0.01048;0.01545;0.01849;0.02114;0.02363;0.0254;0.02741;
 3;0.244404;0.0315105;0.00317983;8.39839e-07;8.18846;17;0.00224725;0.00474638;0.0101222;0.0140796;0.017037;0.0202006;0.0234413;0.0253267;0.0273316;0.0008;0.00275;0.00919;0.01412;0.01747;0.02047;0.02311;0.02493;0.02687;
 4;0.214078;0.0348036;1.1e-05;9.9209e-07;7.97653;14;0.00198487;0.00446231;0.00993392;0.0141119;0.0173378;0.0209104;0.0247306;0.0270404;0.0295641;0.00069;0.00261;0.00958;0.01481;0.01837;0.02167;0.02486;0.02713;0.029;
 5;0.215816;0.0365221;1.1e-05;8.13691e-07;11.6329;15;0.00205989;0.00468123;0.0104621;0.0148672;0.0182622;0.0220143;0.0260163;0.0284301;0.0310629;0.00065;0.00303;0.00973;0.01509;0.01876;0.0222;0.02569;0.02833;0.0302;
 6;0.23305;0.0383447;0.000275833;1.1791e-06;12.7808;21;0.00218242;0.00513825;0.011563;0.0163602;0.0199902;0.0239243;0.0280183;0.030433;0.0330245;0.00055;0.0032;0.01043;0.01679;0.02107;0.02464;0.02782;0.03069;0.03288;
 7;0.249999;0.035502;0.00115842;4.60027e-07;9.57037;20;0.00188756;0.00482074;0.0111059;0.0157067;0.0191269;0.0227652;0.026466;0.028606;0.0308725;0.00112;0.00375;0.01031;0.01607;0.01987;0.02291;0.02563;0.02838;0.03111;
 8;0.244331;0.0361961;0.00456506;2.88894e-07;8.80561;18;0.00223218;0.00513076;0.0113619;0.0159458;0.0193699;0.0230319;0.0267821;0.0289639;0.0312839;0.00156;0.00423;0.01103;0.01624;0.01983;0.02314;0.02626;0.02861;0.03146;
 9;0.190971;0.0375461;0.00498771;4.40358e-07;9.62954;20;0.00208457;0.0044849;0.00987751;0.014098;0.0174331;0.0212229;0.0254158;0.0280358;0.030976;0.00076;0.00377;0.0094;0.01444;0.0181;0.02152;0.02492;0.02776;0.03107;
 10;0.234318;0.0358252;0.00273922;5.55935e-07;10.2051;21;0.00272327;0.00544174;0.0113406;0.0157356;0.0190555;0.022647;0.0263769;0.0285732;0.0309275;0.00095;0.00438;0.01087;0.01592;0.01943;0.02265;0.02566;0.02804;0.0316;
 11;0.249999;0.035938;0.00257561;5.42259e-07;8.2159;17;0.00278575;0.00567792;0.0118727;0.0164054;0.019774;0.0233566;0.0270002;0.029107;0.0313382;0.00216;0.00693;0.01256;0.01719;0.0204;0.02335;0.02624;0.02868;0.03219;
 12;0.249999;0.0361073;0.00381617;7.33289e-07;7.79315;16;0.00409712;0.0068886;0.0128639;0.0172329;0.0204784;0.0239291;0.0274375;0.0294657;0.0316137;0.00328;0.00769;0.01372;0.01823;0.02127;0.02392;0.02641;0.02869;0.03228;
 
