Date;Alpha;Beta;Sigma;Error;Time;Iterations;    ModR0.25;ModR1;ModR3;ModR5;ModR7;ModR10;ModR15;ModR20;ModR30;    MarR0.25;MarR1;MarR3;MarR5;MarR7;MarR10;MarR15;MarR20;MarR30
1;0.249999;0.049999;1.1e-05;2.05968e-05;9.17232;18;0.0397271;0.0406235;0.0425444;0.0439507;0.0449962;0.0461084;0.0472398;0.047894;0.0485869;0.00112;0.00375;0.01031;0.01607;0.01987;0.02291;0.02563;0.02838;0.03111;
 2;0.249999;0.049999;0.00226738;3.65936e-05;12.2287;23;0.0309021;0.0325679;0.0361354;0.0387451;0.0406844;0.0427468;0.044844;0.0460567;0.0473409;0.00156;0.00423;0.01103;0.01624;0.01983;0.02314;0.02626;0.02861;0.03146;
 3;0.249999;0.049999;0.00103433;3.06438e-05;11.2773;22;0.0302111;0.0319377;0.0356374;0.0383455;0.0403587;0.0425001;0.0446784;0.0459379;0.0472719;0.00076;0.00377;0.0094;0.01444;0.0181;0.02152;0.02492;0.02776;0.03107;
 4;0.249999;0.049999;0.0002754;2.23948e-05;8.11168;16;0.031028;0.0326835;0.0362312;0.0388283;0.0407592;0.0428132;0.0449027;0.0461109;0.0473906;0.00095;0.00438;0.01087;0.01592;0.01943;0.02265;0.02566;0.02804;0.0316;
 5;0.249999;0.049999;0.00432955;1.47528e-05;10.2798;20;0.0233238;0.0256492;0.0306236;0.0342584;0.0369573;0.0398259;0.0427418;0.0444272;0.0462121;0.00216;0.00693;0.01256;0.01719;0.0204;0.02335;0.02624;0.02868;0.03219;
 6;0.249887;0.049999;0.00110989;1.6478e-05;10.3375;20;0.0232729;0.025604;0.0305995;0.0342566;0.0369756;0.0398682;0.042811;0.0445129;0.0463155;0.00328;0.00769;0.01372;0.01823;0.02127;0.02392;0.02641;0.02869;0.03228;
 7;0.249999;0.0499953;0.00192568;1.91747e-05;20.3066;39;0.0120895;0.0153969;0.0224828;0.0276689;0.0315239;0.0356243;0.0397949;0.0422066;0.0447607;0.00347;0.00642;0.01001;0.01393;0.01709;0.02031;0.02354;0.02606;0.02981;
 8;0.249999;0.049999;1.1e-05;1.76638e-05;7.11217;14;0.0105493;0.0139919;0.0213694;0.0267702;0.0307855;0.035057;0.0394021;0.0419147;0.0445759;0.00428;0.00692;0.00954;0.01289;0.01564;0.01849;0.02152;0.02409;0.02847;
 9;0.249999;0.049999;1.1e-05;2.51471e-05;8.19071;16;0.00547397;0.00935944;0.017686;0.0237818;0.0283136;0.0331347;0.0380388;0.0408747;0.0438782;0.00366;0.00612;0.00893;0.0128;0.01585;0.01865;0.02146;0.02431;0.02832;
 10;0.249999;0.05;0.00287339;4.88364e-05;9.28136;18;0.00721253;0.0109453;0.0189408;0.024791;0.0291389;0.0337632;0.0384661;0.0411853;0.0440653;0.00321;0.00588;0.00949;0.01333;0.01625;0.01903;0.02202;0.02486;0.02875;
 11;0.249999;0.0499948;0.000667399;5.60688e-05;18.7274;36;0.0120916;0.0153992;0.0224871;0.0276758;0.0315333;0.0356369;0.0398111;0.0422249;0.0447815;0.00372;0.0073;0.01051;0.01414;0.01679;0.01913;0.02158;0.02427;0.02843;
 12;0.249999;0.0499801;1.1e-05;6.0417e-05;14.4926;28;0.0097626;0.0132722;0.0207932;0.0262992;0.0303926;0.0347473;0.0391769;0.0417385;0.0444515;0.00303;0.00525;0.00724;0.0106;0.0132;0.01549;0.01786;0.02064;0.02536;
 13;0.249999;0.049999;0.000989634;6.35591e-05;11.009;21;0.00895028;0.0125323;0.020208;0.0258269;0.0300041;0.0344477;0.0389678;0.0415816;0.0443499;0.00275101;0.00413224;0.00739722;0.0101438;0.0124661;0.0153145;0.018816;0.0212584;0.0243056;
 14;0.249999;0.049999;0.000666352;4.05037e-05;12.4734;24;0.00920889;0.0127684;0.0203962;0.0259801;0.0301315;0.0345477;0.0390399;0.0416376;0.0443888;0.00401103;0.00594568;0.0102847;0.0136732;0.0163458;0.0193768;0.0227223;0.0248081;0.0271447;
 15;0.249999;0.049999;0.000680374;2.24208e-05;11.1414;22;0.0105684;0.0140092;0.0213828;0.0267806;0.0307935;0.0350625;0.0394049;0.041916;0.0445756;0.00337625;0.00525129;0.00954492;0.0129975;0.0157954;0.0190654;0.0228229;0.0252623;0.028094;
 16;0.249999;0.049999;1.1e-05;6.63066e-05;12.2521;24;0.00829459;0.0119339;0.019733;0.0254426;0.0296874;0.034203;0.0387964;0.0414527;0.044266;0.00356722;0.00528593;0.00927208;0.0125338;0.0152189;0.0184113;0.0221636;0.0246559;0.0276111;
 17;0.249999;0.0476172;0.0044443;1.64929e-05;11.6854;23;0.00434008;0.00811409;0.0161925;0.0220992;0.0264871;0.0311522;0.0358954;0.0386376;0.0415416;0.00429058;0.00588788;0.00962445;0.0127216;0.0153041;0.0184215;0.022168;0.024718;0.0278189;
 18;0.249999;0.0381676;0.00294687;1.42302e-05;12.8121;25;0.00269224;0.00578687;0.0124146;0.0172634;0.0208667;0.0246987;0.0285958;0.030849;0.0332353;0.00358885;0.00556499;0.0100878;0.0137193;0.016656;0.0200779;0.0239901;0.026515;0.0294284;
 19;0.249999;0.0490161;1.1e-05;1.38275e-05;9.11712;18;0.00411486;0.00803316;0.0164301;0.0225773;0.0271475;0.0320093;0.0369548;0.0398147;0.0428436;0.003913;0.00674189;0.0127957;0.0172208;0.0205075;0.0240014;0.0275534;0.0296068;0.0317813;
 20;0.249999;0.049999;1.1e-05;1.18067e-05;8.04023;16;0.00467439;0.00862963;0.0171058;0.0233109;0.0279242;0.0328318;0.037824;0.0407108;0.0437683;0.00286159;0.00576513;0.0119756;0.016513;0.0198818;0.0234622;0.0271014;0.029205;0.0314325;
 21;0.210207;0.0493605;0.00338612;5.18056e-06;10.1711;20;0.0027351;0.00619341;0.0138504;0.0197187;0.0242662;0.0293226;0.0347584;0.0380619;0.0416859;0.00246352;0.00519788;0.0111434;0.0155879;0.0189563;0.0226145;0.026433;0.0286922;0.0311222;
 22;0.249999;0.049999;1.1e-05;1.02273e-05;8.58591;17;0.00299815;0.00709968;0.0158893;0.0223239;0.0271078;0.0321969;0.0373737;0.0403673;0.0435379;0.00229623;0.00469378;0.0100876;0.0143158;0.017661;0.0214658;0.0256791;0.0283135;0.0312707;
 23;0.249999;0.049999;1.1e-05;2.35887e-05;9.09157;18;0.00401115;0.00802427;0.0166244;0.0229204;0.0276012;0.0325806;0.0376458;0.0405749;0.0436771;0.00231489;0.00516459;0.0113288;0.0159011;0.0193409;0.0230462;0.0268736;0.0291166;0.0315132;
 24;0.249999;0.049999;1.1e-05;2.31144e-05;9.0671;18;0.00369078;0.00773187;0.0163919;0.0227318;0.0274451;0.0324593;0.0375598;0.0405093;0.0436331;0.00203351;0.00495495;0.0112045;0.0157709;0.0191616;0.0227654;0.0264286;0.0285461;0.0307884;
 25;0.249999;0.049999;1.1e-05;2.33314e-05;8.06174;16;0.002737;0.00686131;0.0156997;0.0221702;0.0269806;0.032098;0.0373036;0.0403138;0.043502;0.00222892;0.00515065;0.0115282;0.0163184;0.0199626;0.0239343;0.0280967;0.0305673;0.0332306;
 26;0.249999;0.049999;1.1e-05;1.52209e-05;10.1747;20;0.00270596;0.00683299;0.0156772;0.0221519;0.0269655;0.0320863;0.0372952;0.0403074;0.0434977;0.00216026;0.00477244;0.0105077;0.0148511;0.0181799;0.0218368;0.0257077;0.0280262;0.030542;
 27;0.249999;0.049999;1.1e-05;1.04386e-05;9.11748;18;0.00317769;0.00726354;0.0160196;0.0224297;0.0271952;0.0322649;0.0374219;0.0404041;0.0435626;0.00214752;0.00469065;0.0102504;0.0144383;0.0176343;0.021131;0.024815;0.0270131;0.0293917;
 28;0.249999;0.049999;1.1e-05;1.48546e-05;9.25706;18;0.00280251;0.00692111;0.0157473;0.0222087;0.0270125;0.0321228;0.0373212;0.0403272;0.043511;0.00211305;0.00457948;0.00989752;0.0138261;0.0167718;0.0199347;0.0231895;0.0250911;0.0271188;
 29;0.249999;0.049999;8.52232e-05;1.13319e-05;8.92233;17;0.00293222;0.0070395;0.0158414;0.0222851;0.0270757;0.0321719;0.037356;0.0403538;0.0435288;0.00232492;0.00490138;0.0104258;0.0144733;0.0174845;0.0206901;0.0239538;0.0258425;0.0278439;
 30;0.249999;0.049999;0.00146209;4.41194e-05;9.6198;19;0.0030188;0.00711824;0.0159024;0.0223323;0.0271122;0.0321968;0.0373688;0.0403595;0.0435271;0.00203167;0.00415604;0.00876768;0.0122054;0.0148031;0.0176144;0.020535;0.0222552;0.0240996;
 31;0.249999;0.049999;4.16501e-05;2.69561e-05;9.59397;19;0.00299687;0.00709851;0.0158883;0.0223232;0.0271072;0.0321964;0.0373734;0.040367;0.0435377;0.00205132;0.0048827;0.0109403;0.015367;0.0186542;0.0221483;0.0257001;0.0277532;0.0299274;
 32;0.249999;0.049999;6.1121e-05;2.69837e-05;10.2185;20;0.00323506;0.00731591;0.0160612;0.0224634;0.0272232;0.0322866;0.0374373;0.0404158;0.0435704;0.0023583;0.00495799;0.0106996;0.015084;0.0184699;0.0222203;0.026232;0.0286584;0.0313103;
 33;0.249999;0.049999;0.000735919;4.25692e-05;13.8344;27;0.00334478;0.00741599;0.0161404;0.0225271;0.0272752;0.0323262;0.0374642;0.0404353;0.0435821;0.00245164;0.00542658;0.0118239;0.0165303;0.0200447;0.023801;0.0276438;0.0298771;0.03225;
 34;0.249999;0.049999;1.1e-05;2.53365e-05;9.91173;19;0.00326045;0.00733909;0.0160796;0.0224784;0.0272355;0.0322963;0.0374442;0.0404211;0.043574;0.00238829;0.00553467;0.0123347;0.0173723;0.0211578;0.0252305;0.0294309;0.0318891;0.0345132;
 35;0.249999;0.049999;1.1e-05;8.91173e-06;10.0971;19;0.00278251;0.00690286;0.0157328;0.022197;0.0270028;0.0321153;0.0373158;0.0403231;0.0435082;0.00246537;0.00516718;0.0111836;0.015831;0.0194575;0.0235198;0.0279278;0.03063;0.0336144;
 36;0.227736;0.0499999;1.1e-05;5.02336e-06;11.5761;22;0.00215962;0.0059866;0.014342;0.0206199;0.0253972;0.0306056;0.036066;0.0393083;0.0428041;0.0024634;0.00560446;0.012444;0.0175641;0.0214477;0.0256673;0.0300725;0.0326784;0.0354808;
 37;0.215233;0.049999;1.1e-05;7.90047e-06;9.82981;19;0.00200844;0.00564953;0.0136833;0.0198092;0.0245335;0.0297583;0.0353357;0.0387025;0.0423769;0.00237948;0.0052103;0.0115806;0.0165746;0.020525;0.0250162;0.0299855;0.0330893;0.03657;
 38;0.15613;0.049999;0.000458507;3.06761e-06;12.5964;24;0.00163442;0.00434133;0.010623;0.0157665;0.0200027;0.0250408;0.0309645;0.0348994;0.0395648;0.00215406;0.00478957;0.0108179;0.0156547;0.019564;0.0241164;0.0293181;0.0326733;0.0365433;
 39;0.169048;0.0498255;1.1e-05;5.75099e-06;13.1166;25;0.00171774;0.00462236;0.0112884;0.0166612;0.0210216;0.0261221;0.0319844;0.035788;0.0401984;0.00214357;0.00518446;0.0119757;0.0172446;0.0213736;0.0260214;0.0310983;0.0342309;0.037709;
 40;0.178489;0.049999;1.1e-05;1.55299e-05;12.7833;24;0.00186439;0.0049247;0.0118914;0.0174425;0.0218999;0.0270523;0.0328801;0.0366003;0.0408511;0.00242507;0.00542163;0.0121973;0.0175467;0.0218067;0.0266874;0.0321442;0.0355884;0.039486;
 41;0.207788;0.049999;1.1e-05;1.28088e-05;11.5252;21;0.00231067;0.00581104;0.0135831;0.0195621;0.0242103;0.0293958;0.0349933;0.0384077;0.0421638;0.00190138;0.00475628;0.0113234;0.0166341;0.0209572;0.0260317;0.0318915;0.0357119;0.0401617;
 42;0.249999;0.049999;0.000325492;1.36968e-05;8.30128;16;0.00257399;0.00671251;0.0155813;0.022074;0.0269009;0.0320359;0.0372593;0.0402798;0.0434789;0.00235221;0.00517257;0.0116629;0.0169148;0.0211928;0.0262182;0.0320278;0.0358199;0.0402419;
 43;0.249999;0.049999;1.1e-05;2.56021e-05;9.92285;19;0.00275835;0.0068808;0.0157152;0.0221827;0.026991;0.0321061;0.0373093;0.0403182;0.0435049;0.00218984;0.00576504;0.0136752;0.0197303;0.0244164;0.0296188;0.0351994;0.0385834;0.0422894;
 44;0.249999;0.049999;0.000333889;1.87502e-05;9.33449;18;0.00281282;0.0069305;0.0157547;0.0222146;0.0270172;0.0321263;0.0373234;0.0403287;0.0435117;0.00209714;0.0051488;0.0120932;0.0176239;0.0220627;0.0271912;0.0329878;0.0366858;0.0409087;
 45;0.249999;0.049999;1.1e-05;1.96935e-05;9.93646;19;0.00274232;0.00686617;0.0157036;0.0221733;0.0269832;0.0321;0.037305;0.0403149;0.0435027;0.00216028;0.00482949;0.0110266;0.016104;0.0202883;0.0252681;0.0311286;0.0350253;0.0396498;
