Date;Alpha;Beta;Sigma;Error;Time;Iterations;    ModR0.25;ModR1;ModR3;ModR5;ModR7;ModR10;ModR15;ModR20;ModR30;    MarR0.25;MarR1;MarR3;MarR5;MarR7;MarR10;MarR15;MarR20;MarR30
1;0.249504;0.049999;0.000521565;0.000118551;28.8445;35;0.026508;0.0285541;0.0329407;0.0361537;0.0385436;0.0410874;0.0436765;0.0451746;0.0467618;0.00112;0.00375;0.01031;0.01607;0.01987;0.02291;0.02563;0.02838;0.03111;
 2;0.249999;0.049999;1.1e-05;0.000106572;26.869;30;0.0249007;0.0270909;0.0317845;0.0352206;0.0377752;0.0404928;0.0432571;0.0448557;0.0465488;0.00156;0.00423;0.01103;0.01624;0.01983;0.02314;0.02626;0.02861;0.03146;
 3;0.249999;0.049998;0.000873013;0.00013037;18.563;28;0.0162379;0.0191839;0.0254967;0.030118;0.0335535;0.0372082;0.0409257;0.0430754;0.0453522;0.00076;0.00377;0.0094;0.01444;0.0181;0.02152;0.02492;0.02776;0.03107;
 4;0.249999;0.049999;0.00156139;8.50204e-05;16.5337;27;0.0127444;0.0159951;0.0229602;0.0280583;0.0318481;0.0358794;0.0399798;0.0423509;0.0448621;0.00095;0.00438;0.01087;0.01592;0.01943;0.02265;0.02566;0.02804;0.0316;
 5;0.249999;0.049999;1.1e-05;0.000212914;14.5434;22;0.0101376;0.0136161;0.0210706;0.0265278;0.030585;0.0349011;0.0392915;0.0418304;0.0445193;0.00216;0.00693;0.01256;0.01719;0.0204;0.02335;0.02624;0.02868;0.03219;
 6;0.249999;0.049999;0.00153342;0.000294784;27.3643;43;0.00974524;0.0132577;0.0207837;0.0262925;0.0303876;0.0347437;0.0391746;0.0417368;0.0444504;0.00328;0.00769;0.01372;0.01823;0.02127;0.02392;0.02641;0.02869;0.03228;
 7;0.249999;0.049999;0.000317735;0.000272159;30.4265;44;0.0100667;0.0135514;0.021019;0.0264858;0.0305502;0.0348738;0.039272;0.0418153;0.0445089;0.00347;0.00642;0.01001;0.01393;0.01709;0.02031;0.02354;0.02606;0.02981;
 8;0.249999;0.049999;0.00181951;0.000250342;12.6418;19;0.00948575;0.0130207;0.0205946;0.026138;0.0302587;0.0346419;0.0391002;0.0416782;0.0444085;0.00428;0.00692;0.00954;0.01289;0.01564;0.01849;0.02152;0.02409;0.02847;
 9;0.249968;0.049999;6.39547e-05;0.000421228;26.6219;41;0.00989748;0.0133965;0.0208952;0.026385;0.0304666;0.0348087;0.0392258;0.0417802;0.0444856;0.00366;0.00612;0.00893;0.0128;0.01585;0.01865;0.02146;0.02431;0.02832;
 10;0.249999;0.049999;0.00053446;0.000300275;34.0875;50;0.00956983;0.0130978;0.0206583;0.026193;0.0303077;0.034685;0.0391376;0.0417124;0.0444395;0.00321;0.00588;0.00949;0.01333;0.01625;0.01903;0.02202;0.02486;0.02875;
 11;0.249749;0.049999;1.1e-05;0.000288758;13.0972;20;0.00943779;0.0129741;0.0205539;0.0261046;0.0302323;0.0346245;0.0390939;0.0416792;0.0444177;0.00372;0.0073;0.01051;0.01414;0.01679;0.01913;0.02158;0.02427;0.02843;
